,level_0,index,naics,complexity,firm_prpn,NUMBER_FIRMS
169,169,8483,488210,3,0.2857142857142857,526
170,170,8511,531120,3,1.0,29724
171,171,8546,441222,2,0.125,3663
172,172,8554,334516,5,1.0,601
173,173,8568,423420,4,1.0,2268
174,174,8591,423450,3,1.0,7534
175,175,8610,561990,3,1.0,11707
176,176,8622,423120,4,1.0,8691
177,177,8645,518210,4,0.6428571428571429,9605
178,178,8673,334118,6,1.0,560
179,179,8728,238990,2,1.0,32501
180,180,8743,332431,3,1.0,66
181,181,8762,522291,3,0.8333333333333334,3239
182,182,8792,424510,5,0.6086956521739131,2095
183,183,8815,541330,6,0.7674418604651163,44938
184,184,8858,322130,8,0.45161290322580644,82
185,185,8889,523999,3,1.0,1267
186,186,8907,337110,4,1.0,6239
187,187,8922,333991,2,1.0,141
188,188,8952,541614,3,0.75,6676
189,189,8976,424910,4,0.38461538461538464,4867
190,190,8989,424710,3,0.5,2554
191,191,9005,335221,4,1.0,88
192,192,9047,313310,2,1.0,722
193,193,9051,445299,3,1.0,5021
194,194,9076,333415,6,1.0,715
195,195,9123,611110,3,1.0,19372
196,196,9141,332913,3,0.16666666666666666,109
197,197,9147,721110,5,1.0,41643
198,198,9199,339930,6,0.5454545454545454,548
199,199,9221,331210,3,1.0,203
200,200,9240,332216,3,1.0,883
201,201,9251,531210,5,0.7567567567567568,98801
202,202,9288,332994,3,1.0,431
203,203,9311,423510,3,1.0,6829
204,204,9329,325180,4,0.6,365
205,205,9354,339112,4,0.5263157894736842,1162
206,206,9392,561499,2,1.0,3976
207,207,9403,221114,5,0.0,118
208,208,9429,336999,3,1.0,422
209,209,9457,423720,2,1.0,2905
210,210,9475,238120,4,0.0,3376
211,211,9483,441310,4,0.55,16755
212,212,9503,333414,3,1.0,385
213,213,9509,336340,3,1.0,139
214,214,9522,533110,2,0.8148148148148148,2393
215,215,9549,424990,2,1.0,11012
216,216,9553,332919,3,1.0,215
217,217,9561,337214,5,0.5,201
218,218,9575,711190,2,1.0,365
219,219,9591,335912,3,1.0,61
220,220,9594,325612,2,0.5555555555555556,446
221,221,9612,445310,5,0.15789473684210525,30042
222,222,9631,237120,2,0.9166666666666666,1819
223,223,9643,335999,8,1.0,810
224,224,9688,332322,3,0.5,3943
225,225,9696,221210,4,0.7777777777777778,442
226,226,9723,326199,1,1.0,5119
227,227,9737,327993,1,1.0,194
228,228,9760,541612,2,1.0,6502
229,229,9778,453910,5,1.0,5146
230,230,9803,238340,4,0.17647058823529413,9474
231,231,9820,321999,3,1.0,2488
232,232,9833,334310,5,0.6296296296296297,489
233,233,9860,335129,3,1.0,258
234,234,9874,311999,4,0.9285714285714286,654
235,235,9888,236220,2,0.5,37798
236,236,9900,333314,3,0.375,398
237,237,9916,493120,3,0.42857142857142855,672
238,238,9923,423690,4,1.0,8803
239,239,9937,221310,3,0.6,3302
240,240,9942,333999,2,1.0,1457
241,241,9947,713210,2,1.0,271
242,242,9955,551112,3,1.0,6361
243,243,9965,212299,2,1.0,26
244,244,9974,611310,3,1.0,2437
245,245,9978,423610,2,1.0,8420
246,246,9983,333924,2,0.5,314
247,247,9985,511199,1,0.14285714285714285,695
248,248,9992,541611,2,1.0,69972
249,249,9995,451110,2,1.0,16687
250,250,10000,334515,2,1.0,741
251,251,10006,332111,2,1.0,370
252,252,10011,453220,1,0.5,16044
253,253,10013,325413,4,0.4444444444444444,195
254,254,10022,424720,1,0.3333333333333333,1690
255,255,10028,541910,3,0.16666666666666666,4217
256,256,10034,334517,2,1.0,143
257,257,10041,424420,3,1.0,2570
